Date,Direction,Entry,Exit,Quantity,Brokerage,PnL,Capital,Drawdown%,Result,Month
2026-06-09,LONG,32.18,32.3,2175.26,70,191.03,14191.03,0.0,EOD,2026-06
2026-06-10,LONG,32.25,32.36,2170.54,70,168.76,14359.79,0.0,SL,2026-06
2026-06-17,SHORT,33.1,32.91,2114.8,70,331.81,14691.6,0.0,TARGET,2026-06
2026-06-19,SHORT,33.1,33.26,2114.8,70,-413.0,14278.6,2.81,SL,2026-06
2026-06-22,SHORT,33.3,33.25,2102.1,70,35.11,14313.71,2.57,EOD,2026-06
2026-06-24,SHORT,33.14,32.95,2112.25,70,331.33,14645.04,0.32,TARGET,2026-06
2026-06-25,SHORT,33.26,33.08,2104.63,70,308.83,14953.87,0.0,TARGET,2026-06
