Date,Direction,Entry,Exit,Quantity,Brokerage,PnL,Capital,Drawdown%,Result,Month
2026-06-12,SHORT,18.2,18.29,3846.15,70,-413.0,13587.0,2.95,SL,2026-06
2026-06-17,SHORT,17.85,17.94,3921.57,70,-413.0,13174.0,5.9,SL,2026-06
2026-06-19,SHORT,18.17,18.06,3852.5,70,353.78,13527.78,3.37,TARGET,2026-06
2026-06-22,SHORT,18.7,18.58,3743.32,70,379.2,13906.97,0.66,TARGET,2026-06
2026-06-24,SHORT,18.18,18.06,3850.39,70,392.05,14299.02,0.0,TARGET,2026-06
2026-06-30,SHORT,17.82,17.7,3928.17,70,401.38,14700.4,0.0,TARGET,2026-06
2026-07-01,SHORT,18.36,18.26,3812.64,70,311.26,15011.66,0.0,TARGET,2026-07
