Date,Capital,DailyPnL
,10000.0,0.0
2025-07-11,10000.0,0.0
2025-07-14,9862.933333333336,-137.06666666666433
2025-07-15,9821.59,-41.34333333333507
2025-07-16,9767.190000000002,-54.39999999999782
2025-07-17,9718.39000000001,-48.799999999991996
2025-07-18,9582.340000000011,-136.0499999999996
2025-07-21,9538.040000000014,-44.29999999999745
2025-07-22,9476.573333333345,-61.46666666666806
2025-07-23,9383.273333333353,-93.2999999999929
2025-07-24,9330.973333333352,-52.30000000000109
2025-07-25,9269.74000000002,-61.23333333333176
2025-07-28,9182.240000000018,-87.50000000000227
2025-07-29,9086.080000000022,-96.15999999999622
2025-07-30,8989.746666666691,-96.33333333332939
2025-07-31,8895.060000000027,-94.68666666666422
2025-08-01,8839.893333333355,-55.16666666667061
2025-08-04,8712.493333333357,-127.39999999999827
2025-08-05,8592.613333333356,-119.88000000000102
2025-08-06,8479.34666666669,-113.26666666666597
2025-08-07,8356.846666666685,-122.500000000005
2025-08-08,8235.966666666685,-120.88000000000011
2025-08-11,8214.766666666685,-21.199999999999818
2025-08-12,8360.766666666685,146.0
2025-08-13,8257.296666666685,-103.4699999999998
2025-08-14,8177.996666666684,-79.30000000000109
2025-08-18,8073.463333333344,-104.53333333333967
2025-08-19,8028.330000000011,-45.13333333333367
2025-08-20,7947.830000000002,-80.50000000000921
2025-08-21,8085.630000000004,137.800000000002
2025-08-22,7995.630000000004,-90.0
2025-08-25,8038.296666666668,42.66666666666424
2025-08-26,8065.963333333333,27.666666666665606
2025-08-28,7977.296666666665,-88.66666666666788
2025-08-29,7871.296666666663,-106.00000000000136
2025-09-01,7765.296666666663,-106.0
2025-09-02,7672.980000000005,-92.3166666666582
2025-09-03,7615.313333333336,-57.66666666666879
2025-09-04,7887.54666666667,272.2333333333336
2025-09-05,7818.680000000001,-68.8666666666686
2025-09-08,7705.813333333333,-112.8666666666686
2025-09-09,7837.446666666665,131.63333333333276
2025-09-10,7923.863333333333,86.41666666666822
2025-09-11,8077.863333333334,154.0000000000009
2025-09-12,7975.16333333333,-102.70000000000346
2025-09-15,7856.58,-118.58333333332985
2025-09-16,7755.779999999999,-100.80000000000086
2025-09-17,7705.579999999998,-50.20000000000073
2025-09-18,7653.58,-51.99999999999818
2025-09-19,7653.379999999999,-0.2000000000007276
